"","x"
"177","i was walking down the strip with relatives from out of town when they commented they were thirsty at their behest we went into this mcdonaldsthe line was long and illmanaged only one register was open despite theor so people in linemost of my companions got their soda right away one person ordered a coffee which tookminutes to receive"
"178","i dont often eat at mcdonalds or ever in fact i dont have much expectation for healthy foods but the one thing i do expect is decent service and fast food this branch for neither food was really slow to come out and i had to ask thrice for the coffee that i ordered shocking service delivery"
"179","mcdonalds usually is good for an inexpensive decent quick bite when youve been drinking however i hate clarifyingtimes that im ordering an unsweetened iced tea and receive a disgustingly saccharine sweet tea i mean this location is one that you order facetoface through drivethru „‚heres the conversation „‚id like an unsweetened iced tea i pronounced sweetened or unsweetened asked the careful listener unsweetened i replied you know the rest of the storyoh and the southern style chicken hockey puck was both dry and burnt this mcdonalds receivesstar because they were able to make a usual shitty dining experience even shittier"
"180","itll make ya fat"
"181","i agree with most reviewers on this one staff is always rude and annoyed that youre there i travel weekly to atlanta hartsfield airport and this mcdonalds never has fresh hot coffee atam always have to wait while they brew coffee wth"
"182","never been upset about any fast food drive thru service till i came to this mcdonaldsafter a long trip from california my wife and i went to mcdonalds for a quick bite to eat before our drive back home we pull up to the drive thru but there are a lot of cars waiting to order we were guessing there must be a lot demand for mcdonalds at this late hour so we wait aboutminutes for our turn to order we order the specials they were having at that timepcs chicken nuggets forand asked for a cup of water because we didnt want to drink any sodas at that late hour they take our order but tells us they dont serve cups of water there so we are a little annoyed but ok we shrug it off and wait our turn to pay and receive our order however we wait for almost anothermin to finally pay at the first windowthen anothermore min to finally receive our food by far the worst mcdonalds in the world unfriendly and slow"
"183","this is a busy mcdonalds at all times even late at night the drive thru seems to be where they are doing most of their business when i visit the area i have never had a problem out of service here as i am one those who use the drive thru too my order is always right its within walking distance of several hotels „‚ „‚i do not know anything about the dining area since i always use the drive thru customer service has been great as they always take care of mewhen i go to mcdonalds i get either the big mac meal or the quarter pounder meal big macs are popular because of the secret tangy orange sauce they put on them their quarter pounders are just like eating a moist cheese burger its all hood here"
"184","ive gone to this mcdonalds several times and theyve gotten my order completely wrong i go there before work aroundso im very hungry and i order a bacon egg and cheese biscuit once i get to work i find what is in my bag is actually an egg mcmuffini absolutely hate thoseso of course its too late for me to drive back and get my correct order i dont expect this to happen and its a elveru bisy mcdonalds so i dont stop at the srive thru to check my bagid just like to sayif this happened once in a blue moonthats fine mistakes happenbut not this many times over it i also notice that while im giving my order at the drive thruthe person taking it is either never paying attention or rude i wish this would change this mcdonalds seems to be constantly packed with people in the morning because its on a very high traffic road so they need to reevaluate their customer service"
"185","management is very rude here i bring my son every now and then to play „‚and have witnessed on several occasions the manager who is a female was extremley rude i was shocked at her behavior i still go there because its close to my house"
"186","simple question what is so hard about making a dipped cone that looks like the picture in the restaurant „‚sometimes they make it so fat that it attacks my clothingi love your dipped cones „‚addicted to it"
"187","the drive through line is terrible they are painfully slow"
"188","kids playplace smells awful and there is food everywhere „‚will never go there except the drive thru „‚drive thru staff is very pleasant and polite but it doesnt make up for the messy playplace"
"189","i admit im not a big fan of mcdonalds however sometimes nothing hits the spot like their fries and a diet coke what pushes this location over the edge of some others is the staff theyre always super nice whether its am or pm they dont make you repeat your ordertimes and they get it right theyre also generous with the condiments when you ask for them and even when you dont unlike some fast food places that stop serving milkshakes after a certain hour because theyve already cleaned the machine theyll make you a milkshake up until they close service is a huge thing for me so the fact that theyre always smiling and ready to help me get my fat fix is what makes me partial to this particular location it can be a bit of a pain to get into and out of as its right on holcomb bridge rd but thats a minor annoyance"
"190","one star and im beng kind i blame management last day of free coffee so we decide to stop and order breakfast and coffees thru drivethru she charged us for coffee and when asked why she said she needed to confirm there were two of us in the car now she has to clear the order and that took retraining ask next time at tthe speakeroh it gets betterwe get to next window where einstein is waiting pours the coffees with different creamssugars added which one is which i asked and he smiled and said one hascreamsugar and the other hascreamsugar didnt maek the cups but at least he made sure we had straws for our coffees hello management where are you"
"191","this place is quite sub par even for a mcdonalds „‚this place is really ghetto and theres always a bunch of annoying kids loitering and taking up the available tables „‚i guess its ok if you want to grab a soda on a hot day or a snack to munch on while walking around but again its not very good for your health or for taste „‚i say exert some selfdiscipline buy something worthwhile in walmarts grocery section then go home and prepare something worth eating"
"192","this is the most fucked up mcdonalds you are gonna see „‚of course i didnt buy anything in here but really like going in there to use their bathroom because its like negative mcmoney for the big mccorporationbuckscom „‚they have a shitty parking lot people reading racing papers in the back and a depressed korean woman eating a chicken sandwich in the front „‚theres a big old golden arches out there with lights all over it like just regular light bulb lights „‚the sign says new building coming soon and there are shitty renderings of a new fancy dallasstyle mcds with vegas lights all over it „‚i can certainly wait for the new sign and building because i like the old one „‚i went in here when i was buzzing on a full throttle slurpee which i highly recommend"
"193","i love mcdonalds grew up on it and still take my boys there regularly and i have to say this „‚the location off of the circle in summerlin really has some hard times keeping up „‚the place always seems to be a bit dirty both in the lobby and behind the counter „‚i dread getting a quick bite with the boys when we are in a hurry as they are never fast in the drive thru „‚but the food is always just as good at any other mcdonalds so they do have that going for them „‚it is literally though one of the slowest mickey ds i have ever been to „‚and this is not just one experience i go very regularly because as i said i love it and this one is the closest to me so for convenience but sometimes i wonder if it would be faster to drive seven minutes out of my way to another mcdonaldstheir employees are so nice though just not the best on the speed side of thingsmaybe they will get better"
"194","worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co worker laughing it up with her back to us making us wait instead of giving us our ice coffee then she seemed to remember she was working and brought us our coffee last time i went there i ordered something with no mayo which my ticket said got home and covered in mayo called up to complain and the responsewhat do u want me to do about it „‚i hope this one goes out of business „‚this location is good for nothing my husband and i if we ever go to another mcdonalds it will be out of state"
"195","update im sick of coming here and having them tell me after a long wait in line that theyre out of whatever im looking for please after a few times i get the picture"
"196","i had the mccafe mocha and must say that it was better than drinking sand and salt water thats about ittoo sweet and i couldnt even taste the coffee over the other weird flavors going on in this drinkstick with the starbucks mocha folks „‚trust me on this one"
"197","awful i once waitedminutes for a small iced vanilla coffee it was unbelievable myself and several other customers were shocked at how slow they were to make simple food theres nothing fancy about mcdonalds so why it took so long is beyond me they are always slow at this location it doesnt matter if you do drive thru walk in on another occasion i did the drive thru and got a burger andapple pies i ate one pie that had something hard and plastic like in it im definitely sure it wasnt apple or pie crust so disgusting i wont ever come here again mcdonalds just keeps getting worse"
"198","this mcdonalds is not only in the business of making crappy food and providing even crappier service watch out for the racket they have in the parking lotif your not careful reading the sign at the the front of the entrance it is going to cost youin parking fees went in to to ask the management they just blew me off lucky they are in vegas where they dont count on repeat businesssss"
"199","went to order a meal via drive through and there was a live roach not waterbug on the window crawling in mid day i showed it to the gentleman that was collecting my payment and he never noticed the roach there i canceled my order immediately and drove away"
"200","this is one rude mcdonalds the food takes longer to prepare than any other macdonalds i have ever been to the people working there always seem annoyed like you are bothering them just by being there i avoid this mc ds whenever i can"
"201","saw roaches while eating told management and they reacted like its nothing new never again will i go to that mcdonald s even though its close by me"
"202","on your way to the airport or just cruising down camp creek pkwy „‚are you absolutely in love with mcdonalds sweet tea well then dont ever go through this drive thru „‚hands down this is the slowest mcdonalds drive thru ive experienced in atlanta „‚considering this location is close to the airport it would be great if they could simply improve the quality of service „‚as a lover of sweet tea i was completely turned off by this location when i overheard the drive thru operator joking about how sweet it was a few years ago „‚she told a few of her associates that it was like syrup and liquid diabetes by the time i took my first and only sip i was on i headed to perimeter mall and it tasted like cold syrup „‚thank goodness for the mcdonalds near perimeter mall because they refilled my drink so the moral to the story is if youre on camp creek pkwy near the airport bypass mcdonalds and head for chickfila eatmorechicken"
"203","honestly mcdonalds is a mcdonalds but ive never been to one so slow went in to grab some breakfast and although no one was there it still tookmin the fact that i keep coming back is just because it is close"
"204","this is the worst mcdonalds i have ever seen „‚the service was terrible and the employees were either lazy or incompetent i will never return to this establishment"
"205","onlyreviews for a mcdonalds hmmmmake it lets just say not the best „‚ive beentimes to this location „‚ of thetimes they had my order wrong „‚once when ordering chicken mcnuggets via the drivethru they asked me to pull around the corner and parkand they would bring it out to me „‚i waitedminutes „‚on a positive note if you order and decide to eat there the inside is actually pretty big and kept clean „‚its also offstrip and has easy parking „‚ps inandout is just one more block up the street"
"206","why do i keep falling into this hellhole times yesthe most i chances i have given a placeeither theya are out of whatever you wantb have bad attitudesc give you cold foodd give you melted down frozen strawberry lemonade that looks like puke i should have taken a picture so that you would know i am not making it upi am going to yell now ready stay away from this place"
"207","by far the worst drive thru experience in the united states my husbandi stopped by for drinks since it was a hot evening during our visit in vegas a tall large african american man was working the drive thru when we ordered he never responded over the speaker after waitingminutes we finally pulled up to the windowthe car in front of us entire order was wrong they had to pull up frontwait when we made it to the window he asked us did you orderwe confirmed yes he asked what it was once we told him what our order was he said for reali was floored at the terrible service of this chain the service was so bad i took a photo of the phone number posted outside the window to file a complaint after he confirmed our order which was only two drinks we waited at that window anotherminutes to get the drinks when we drove off we noticed it was a slu of cars waiting behind usthe guy working the window clearly did not know what he was doingshouldnt have been working the drive thru the owner of this franchise really needs to put some tlctraining into their staff"
"208","before a morning round of golf i needed a quick breakfast „‚it had to be quick because i needed to make my tee time „‚it had to be big because i needed energy for the course „‚i stopped into this mickey ds and right behind the register i saw big breakfast with hotcakes „‚sounded good to mejust seconds after swiping my credit card i was handed a tray with three hotcakes mcdonalds pancakes scrambled eggs a sausage patty a biscuit and a mcdonalds hash brown „‚oh yeah and two containers each of syrup and butter „‚all this for less than five bucks „‚now thats what i call fast food „‚its fast and its cheap „‚this is why america has an obesity problemnearing the end of my meal i started to realize that it was a lot of food „‚i can eat a lot and i could have probably done ok without the extra hash brown or biscuit i was also rushing „‚for three pancakes i only needed one container of syrup „‚i like their butter „‚its very wispy „‚everything was good and tasted consistent with what youd expect of mcdonalds „‚out of curiosity i went to mcdonalds web site to see how many calories was in this meal"
"209","this is clearly a franchise location and theydonotcare this place is a cash cow the staff is totally random have had some decent service and times i would be better going to the overpriced gas station next doorclearly the newbigger menu has the staff utterly overwhelmed oh when a place has now hiring all shifts signs up for everbe warned there is one elderly latina lady at the drive thru whose here you go hun and smile could melt and iceberg what a joy butonce had horrible service complained and got an out of date coupon for one small sandwich fries and drink really"
"210","agree worst mcdonalds ever not only did they mess up our order they messed up the order before ours"
"211","awful service and extremely slow go elsewhere"
"212","i was on my way home a little after midnight and i wanted a cold drink „‚this mcdonalds is easy to get to „‚the drive through had three cars in front of me but before long i had my diet coke ordered and i was soon at the window picking it upi generally dont stop in this neighborhood because there are others closer to home but this was perfect last night „‚a good stop with a pleasant and quick staff"
"213","this mcdonalds is absolutely awful „‚it always seems like it is never open its not openhours like most locations and the service is very horrible and slow „‚the line is always long and as said the place is so slow „‚their quality for a bacon egg and cheese biscuit is very low „‚the best location is pecos and bonanza „‚this one valle verde and paseo verde is the worst"
"214","oh my goodness i should have read the reviews first but this mcdonald is on my way so i stopped by this is by far the dirtiest mcdonald ive seen in a long time staff is unfriendly and obviously so bored with their job definitely not even place for a quick meal"
"215","the story is short evil dishonest scam artists and bigotsthe story is longthere are a number of things wrong with this mcdonalds but a few things that are right lets start with the goodfood is usually correct as ordered in the drivethruworkers are friendly enough probably because they see me oftenthe badon the drivethru menu board it says plainly value mealquarter pounder w cheesefor medium friesdrink large fries and large drink forextra total should beplus taxi say plainly at least a dozen times a month numberlarge with cokemy receipt says plainlyqrt cheese mllrgxlg cokesubtotaltake out tax wtf is a take out tax were quibbling overcents plus a dubious take out tax but its twenty cents forcustomers an hour timeshours a day timesdays a year scam artists running this mcdonalds boo hissthe uglyonly people of one race and one sex are hired at this restaurant and apparently only one national origin too „‚this is against federal law see eeocgovwhen a population of workers is examined as to characteristics such as gender race and age and the data is charted according to statistical groupings and you wind up with everybody being the same this is a pattern that is against federal law but who cares its vegas and its mcdonalds in vegas right i emailed mcdonalds corporate and they couldnt care less the response i got back was a form letter copypasted"
"216","well i guess the saying is trueyou get what you pay for they forgot to put cheese on my breakfast sandwichthough its frustratingthis is mcdonaldsno one should ever expect more out of them at least my caramel mocha was good"
"217","ice cream machine is always down staff is rude and ghetto food is always old hate this mcdonalds i always try to avoid it and go to a different one"
"218","seriously i do not know why i bother with this place other than its the closest fast food to where i live „‚so many fails its unbelievable „‚burgers with no buns wrong orders soda without carbonation or taste „‚ive even gone far enough to complain to corporate „‚even though they had someone call me about it they actual place didnt seem to improve „‚ just skip it"
"219","this is the worst mcdonalds i have ever been toyes there are better mcds out there like the one on boulder highway by jokers wild right before you hit warm springsi have visited the last two nights herebecause i was picking up a friend of mine who got off from work and we had a sweet toothalong with my family members at the houseyesterday we pull up and ask for hot fudge sundaes ice cream machine is outinstead we get two large sweet teaswhich were overly sweet almostgave off a syrup feel after i swallowedtonight the ice cream machine is working so i get two sundaes and of course two large sweet teassundaes look sad because they are not in their proper clear plastic cupthey are instead in mini mcflurry cupsnot even filled completely might i addmy friend and i take one sip of our sweet teasand they taste like dirty waterits almost like they were trying to trick uslike they didnt have enough tea so they filledof the cup with water seriously if i wanted the taste of unfiltered water i would just pick up a hose out of someones back yard the women who work here hate their lives i mean they are just wretchedone of the cars parked by the drive thru wasvandalized with shaving cream and what appeared to be eggs cant say i blame the perpitrator when these ladies cant even pour a glass of tea i dont condone it but hey some people are crazy about their food"
"220","i stopped by for a quick lunch and it took twenty minutes to get my order and was only spoken to in spanish"
"221","worst mcdonalds ever bad costumer service cold burgers cold fries the manager lady is the biggest b i have meet „‚the people that work there are slow and dumb i think i rather drive out of my way than come here"
"222","ok we have a consistent problem with this mcdonalds specifically with the coffee and thats too bad because mcds coffee is typically very good todays problem is the decaf old very old id say from late last night possibly but certainly not brewed this morning we should have went to the coffee shop next door previouslynot yet posted almost without exception either the coffee or the service is just awful here i started asking for creamsugar on the side because they screw it up „‚the coffee is sometime cold as well"
"223","worst drove thru ever „‚i was carsitting in a dual drive thru forminutes and notcar had moved i park and go inside the manager waits on me and i said that the drive thru has not moved she saysyeah our drive thru system has gone done i saidit would be nice if someone would walk out there and tell everyone and post a sign she walks away to fill my order only to leave one of her long bleached hairs in between myfrozen strawberry lemonades"
"224","if i could give this place zero stars i wouldthey do not train staff in guest service and the management is horriblewhen i am not near a starbucks i like to come here sometimes for their iced coffee they have never got my order right and never been compelled to fix my order or give me a refundone day me and hubby were in a rush in the morning and grabbedbreakfastwhen we got into the car we look inside of our bag and we have all lunch items we go back inside to correct our order and we are informed that breakfast is over and there is nothing they can do they proceeded to take our name down and told us we could grab free breakfast the next day next morning comes around and we go to get our breakfast we are told that our names are not in the book and again theres nothing they can doi mean its mcdonalds but please have some pride in what you do"
"225","i forget that im at mcdonalds when i visit this location it is very clean and the food is fresh the indoor play area is large and new service is goodcould use a few more smiles sometimes i feel as if the cashier same one each time i went is annoyed that she actually has to work when i go up to order but my order was always correct i definitely recommend this location"
"226","itsforreview day „‚i cant review the walmart without reviewing the mcdonalds that resides inside „‚and boy is it some tantalizing stuffi try not to give too many star reviews but this mcdonalds so deserves it „‚i hardly frequent a mcdonalds at all although this is my second mcdonalds review in less than a week but i need to let the peeps in on this one „‚no yelper should go unwarned „‚of course i came to mcdonalds since i have those coupons for their new contraption the mcwrap „‚which when i pronounce very fast and in my scottish accent sounds much like mccrap „‚after my second go round with this thing i have made up my mind it is decidedly so „‚i need to write mcdonalds execs to change the name on this thing immediatelymy coupon for the day was buy a medium fries and a medium drink get a mcwrap of your choice for free „‚i have a hard time resisting free „‚im here to tell youworst almost free meal of my life „‚seriouslyit was the tail end of lunchtime so the line was still a bit busy „‚i patiently waited for almostminuteswhich is like forever in mcdonalds time „‚at least two folks left the line while i was there „‚i know its not mcdonalds fault but the couple in front of me took up majority of the line space because they were in motorized wheelchairs „‚and they were very loud „‚this doesnt bother me much „‚butthey were also very stinky „‚yes stinky „‚i have no problem with stinky in most cases i occasionally help the homeless so i know but the guy in front of me hadnt washed in days if i were to guess „‚to each his own and i know its almost summer so i know we all want to save waterbut damn „‚if i get a whiff and i have to take a step back „‚you might be stinky „‚but who am i to judge „‚i took a big step back and waited my turn „‚free is the motivation here „‚i finally get up there to the mcdonalds cashier and present my coupon to the guy „‚he takes a look at it and says we dont usually take the promo coupons at this location but well let you use it „‚then he proceeds to put the coupon onto a stack ofmore coupons „‚mind boggling to say the least „‚he takes my order of a medium fries and medium drink asks me what type of mcwrap i want grilled chickenbacon and rings me up „‚ later im given my receipt and asked to wait for my number to be calledi wait „‚and wait „‚ „‚ „‚ „‚ „‚ „‚ „‚ „‚obviously imandminutes later i am still waiting „‚honestly what the hell are you guys doing back there „‚mixing the masa for my fresh pressed tortilla „‚feathering a chicken „‚perhaps ripening a tomato „‚i ask the mcdonalds runner and he tells me were waiting for your mcwrap „‚of courseat this point im almost running late to be back at work so the minute i get my order i bolt back to the office and have lunch at my desk „‚thankfully im only three minutes away „‚i really really should have just gone to the vending machine or eaten my stash of reeses chocolate peanut butter eggs from last easter „‚talk about disappointment „‚i take out my mcwrap from my bag and lay down the box of fries on my desk „‚i continue working while munching away on what is supposed to be mcdonalds claim to fame „‚their golden fries „‚i bite into one eh a bit stale „‚i bit into another one eh not enough salt „‚i bite into yet another one eh cold „‚i look down and whaddaya know „‚my damn fry is not even barely cooked „‚white like olivia wilde in the winter „‚i look through the entire box and find at least half a dozen fries not cooked properly „‚not golden brown „‚not delicious „‚barely out of their frozen state and just limp „‚not acceptable „‚please check my pic for proof of this travesty „‚mcdonalds not doing their fries right is like ikea not serving their swedish meatballs with gravy „‚no buenoafter getting over this somewhat i finally hit my stride to go on to my grilled chickenbacon mcwrap „‚wow talk about lightning striking twice „‚this thing was lifeless „‚after unwrapping this beast the box is still the best part about this mcwrap i could just tell something was off „‚tortilla was already showing signs of being soggy way too long „‚the chicken peeking out of the top was not looking tip top shape either „‚after some hesitation i took a bite „‚ugh i say ugh „‚freshness was not part of the gameplan for this mcdonalds today „‚all cold and soggy „‚and upon all my mcwrap wasnt built correctly „‚instead of having spring mix like its supposed to there was plain old shredded iceberg lettuce „‚and my bacon was missing „‚in the words of our lord darth vadernoooooooo „‚it was mccrap throughthrough „‚totally upset over this one „‚i have picture proof of this travesty of gourmet eats as well „‚mcdonalds you have pissed off the wrong fatty „‚i will definitely be calling your hotline to complain about this one for sure „‚knowing my luck ill get a coupon for a free mcwrap „‚crap"
"227","my poor wife stepdaughter and her three johns creek junior lacrosse gladiator teammates who spent the night saturday and were craving mickey ds this morning second week in a row mas been screwed by this franchise storeits just so close to us and the kids really wanted it yeah yeahfool me once and i even said now honey be sure to check the bag for everything before you drive away since these same folks screwed us on easter morning en route to churchbut thats tough to donearly impossiblewith a car full of tweens and on busy holcomb bridge road en route to barnwell with three big bags stuffed withworth of mcds decadence „‚imagine three bags stuffed full of foodall in individual wrappers and some almost too hot to handle but why should we even have to check behind these folks fully expecting our orders have been satisfied „‚you get what you pay for right not at this franchise store at least on this blustery but sunny sunday morning ma got a receipt three sandwiches missing this time totalinglast weeks tally was about the same whats worse is you have no recourse because the franchises contact number on the receipt goes straight to fax no really see for yourselvesdiabolical strategy to be sure were not even fast food fans by any stretch especially after watching morgan spurlocks super size me a few years back blech enwikipediaorgwikisuÂ†‚and truth be told if the adjacent chickfila was open on sunday that would be our first choice but its not and now were left with no choice for sunday morning brekky on the go because were never evurh „‚going back to this mcdonalds hey but dont you know people talk especially here in johns creek all of our adjacent neighborhoods and sports teams have monthly news letters and social media sites highly active i might addso you can bet the balance of our missing orders that whats happened to us will not happen to our friends and neighborsunless they let it"
"228","food is what you would expect from mcdonalds but the management and staff could use some coaching in customer service „‚i come to this restaurant frequently in the morningsthe manager always seems to have a surly attitude „‚he acts as though he is doing you a big favor to wait on you and even take your money"
"229","i purchased a specialty coffee in the drive through but soon after i pulled out and away i realized i had been given a black coffee for the price ofmistakes happen so i kept my receipt and went back exactly a week later within the hour since i was making the same trip i went inside out of respect to show my face that i wasnt trying to scam them and the manager was working the register i told him what happened and that id like the specialty coffee i originally ordered he pointed that it had been a week since the original purchase and that he needed proof i wasnt lying about my incorrect order mind you at ampeople were all waiting around for their order which shows slow and poor service i didnt argue and i walked away leaving my receipt on the counter i was simply asking for a coffee not even an entire meal i dont post about these sort of things but this time was different the manager could have easily offered a variety of resolutions but all he said was no im sorry well im sorry but ive never been so dissatisfied with customer service and let alone management of a restaurant please stay away from this location for the sake of your pockets and your sanity"
"230","so what do you get when you are hungryits amyou only have hadhours sleep and you are looking for a homie who was last heard fromhours agomcds of coursethe sausage egg mcmuffin tastes like heaven when you are a bit drunk still driving down and around the strip at the oj and waterpure rehydrating goodness the take atmcredit at the drive thru and are speedy and attentive when taking your orderoh btwthe friend i was looking forhe was still in our hotel at the same craps table i left him at i actually left the hotel cause i didnt think he would still be down there gotta love vegas"
"231","its a typical mcdonalds with a play area thats great for kids to run around and burn off some energy „‚it hasnt been renovated like many other mcdonalds around town but im sure it will be done sooner rather than later „‚food was exactly what we ordered and was hot and tasty"
"232","this is a busy location we stopped for lunch on a saturday and waited forever to place our order the play area is outside and not for toddlers i wish they had other activities for little guys as my son was to small to go inside the area"
"233","went through the drivethru today at aboutam for lunch ordered the habanero quarter pounders and a caramel sundae sundae machine was down so no sundae i should have taken that as an omen and just left got the promo to buy a quarter pounderget one free when i went to eat my sandwich i had to search for the habanero sauce just a touch was on the bun and the burger was dry as hell and tasted like it had been reheated from the day before i took one bite and could barely chew it i threw them both away what a waste of gas and time never going to this place again„‚awful"
"234","we came here the day after christmas with ourkids and our nephew to quickly eat breakfast „‚we were greeted in a very non friendly demeanor by this older woman who just couldnt get our order right „‚once we got our order she still got it wrong and i went back and said something to her „‚no apologies „‚she would not give me the small coffee i wanted instead of the large coffee and she short changed us a sausage burritoso i bought another coffee even though i should not have had to pay for it because i was in a rush „‚she just had a really sour attitude and i know she probably doesnt like working there but its not my fault „‚she accepted working thereso for that i give her astarhowever the next day we did come and the younger man was in her place and he was pretty much perfect „‚got everything right „‚great attitude no issues „‚i give him astar"
"235","little bit more expensive than other mickey dees beggars cant be choosy slow service and its packed its openand the workers are pretty nice didnt have many other choices and this filled the need"
"236","this mcdonalds truly is the worst they are always extremely slow and understaffed many of the workers her are rude and obviously dont want to be there my food comes out decent but they are always out of something everytime i go i probably will never come to this location again"
"237","dirtydirty„‚dirty the resturant was so dirty that there was no clean table available „‚this is a fairly new location so im not sure why its not being better maintainedhope somebody helps the staff at this location get it together"
"238","good job guys love the friendly staff „‚dt hoppingnot sure what they are experiencing but one of the bet mcd in area „‚so much better than before „‚love the christian music guys"
"239","i highly recommend this mcdonaldsif and only if you are trapped at northside hospital are ravenously hungry and have absolutely no other option „‚eating at this mcdonalds is slightly better than eating out of a vending machine or dumpster"
"240","never thought i would write a review about mcdonalds however i went through there very early in the am and just like their commercial said they were all smiles „‚it was nice to see some cheerfulness so earlyplus the sausage egg mcgriddles rock"
"241","i dont eat at mcdonalds often but i had a craving for their frozen lemonade drink one worker greeted me at the door as i walked in the cashier was very polite and everyone of the employees was actively working either completing orders or cleaning i was kinda impressed with seeing a crew work together like they did on this visit not room for complaints with anything at all kudos to the team there"
"242","went here for breakfast with my grand daughter she loved „‚the play place i ordered „‚the bacon egg biscuit hash browns and iced coffee for me and since they do not have happy meals at breakfast time they really need to come up with a happy meal breakfast we ordered scrambled eggs and bacon for her my biscuit was very dry and the hash browns were cold in the middle scrambled eggs were not fully cooked but bacon was nice and crispy"
"243","this is the only burger place withinminutes of my office so ive been going here to pick up my lunch before starting work however this morning i get there atbecause i have to be at work ati try to order a chicken wrap and im told they cant take lunch orders untilnow up until recently i worked in the food industry foryears as a manager and i understand the reason for these time frames for breakfast and lunch but atminutes till i can get a wrap so i can make it to my office with lunch on time i asked the order taker if they could please help me out it was onlyminutes and they flat out refused outstanding customer service guys wont be going back there is a vons a port of subs a panda express an ensteins bagelspizza places and a couple of other restraunts all in the same shopping center so just keep pushing business away to your competitorsmonday juneam"
"244","i usually hit the drive thru once or twice a week for breakfast a lot of times the forget to include the hash brown if i order a meal if i order hot cakes they usually forget either butter or utinsils prompting me to have to go inside the food is also very inconsistent"
"245","i dont go here often because the service is so bad i have never left with the right order or sat in line less thanmins they are now running this special where they give you amin timerif you dont get your order by the end of the min you get your meal free but it doesnt count if they give you wrong order yep they gave menuggets in anugget boxa coke when i ordered a burgerhic smh they needwindowsone to payone to pick upthe last to return the wrong orderpick up the correct one"
"246","went there on a sunday afternoon „‚it was only moderately busy but only one cashier jessica carter taking orders she complained that kids in general in restaurant were screaming too loud and that she was too busy to accurately take our orders waited more thanminutes for our food the order as placed on tray was incorrect „‚a new low in fast food"
"247","food is good but whats with all the flies and nats always in the air „‚ive mentoned this to management before but it seems like nothing has changed „‚ im going to the mcdonalds on hudson bridge from now on"
"248","went heretimes over the course of a couple weeks the firsttimes they got my order wrong and on the rd my wife found a bic pen blended up in her smoothie im not even sure how that can accidentally happen we emailed the owner to complain and when he called us back he had quite an attitude and was unapologetic about the incident all he did was defend their food inspection rating"
"249","its mcdonaldswhat more can i say they havent pissed me off nor done anything to wow me yet sostars will suffice"
